TRIG,ACQ,EXT,RESP,PULS
0,0,0,1163,1890
0,0,0,1163,1890
0,0,0,1163,1872
0,0,0,1163,1872
0,0,0,1163,1854
0,0,0,1163,1854
0,0,0,1163,1834
0,0,0,1163,1834
0,0,0,1163,1820
0,0,0,1163,1820
0,0,0,1163,1804
0,0,0,1163,1804
0,0,0,1163,1790
0,0,0,1163,1790
0,0,0,1163,1778
0,0,0,1163,1778
0,0,0,1207,1764
0,0,0,1207,1764
0,0,0,1207,1752
0,0,0,1207,1752
0,0,0,1207,1742
0,0,0,1207,1742
0,0,0,1207,1732
0,0,0,1207,1732
0,0,0,1221,1718
0,0,0,1221,1718
0,0,0,1221,1708
0,0,0,1221,1708
0,0,0,1221,1696
0,0,0,1221,1696
0,0,0,1221,1686
0,0,0,1221,1686
0,0,0,1236,1674
0,0,0,1236,1674
0,0,0,1236,1660
0,0,0,1236,1660
0,0,0,1236,1648
0,0,0,1236,1648
0,0,0,1236,1636
0,0,0,1236,1624
0,0,0,1236,1624
0,0,0,1236,1612
0,0,0,1236,1612
0,0,0,1236,1600
0,0,0,1236,1600
0,0,0,1236,1586
0,0,0,1236,1586
0,0,0,1236,1574
0,0,0,1236,1574
0,0,0,1236,1562
0,0,0,1236,1562
0,0,0,1236,1550
0,0,0,1236,1550
0,0,0,1236,1536
0,0,0,1236,1536
0,0,0,1207,1524
0,0,0,1207,1524
0,0,0,1207,1512
0,0,0,1207,1512
0,0,0,1207,1498
0,0,0,1207,1498
0,0,0,1207,1484
0,0,0,1207,1484
0,0,0,1149,1472
0,0,0,1149,1472
0,0,0,1149,1460
0,0,0,1149,1460
0,0,0,1149,1448
0,0,0,1149,1448
0,0,0,1149,1436
0,0,0,1149,1436
0,0,0,1134,1424
0,0,0,1134,1424
0,0,0,1134,1410
0,0,0,1134,1410
0,0,0,1134,1398
0,0,0,1134,1398
0,0,0,1134,1386
0,0,0,1134,1386
0,0,0,1120,1374
0,0,0,1120,1374
0,0,0,1120,1360
0,0,0,1120,1360
0,0,0,1120,1348
0,0,0,1120,1348
0,0,0,1120,1336
0,0,0,1120,1336
0,0,0,1149,1326
0,0,0,1149,1326
0,0,0,1149,1316
0,0,0,1149,1316
0,0,0,1149,1306
0,0,0,1149,1306
0,0,0,1149,1300
0,0,0,1149,1300
0,0,0,1192,1290
0,0,0,1192,1290
0,0,0,1192,1284
0,0,0,1192,1284
0,0,0,1192,1278
0,0,0,1192,1278
0,0,0,1192,1270
0,0,0,1192,1270
0,0,0,1221,1264
0,0,0,1221,1264
0,0,0,1221,1256
0,0,0,1221,1256
0,0,0,1221,1250
0,0,0,1221,1250
0,0,0,1221,1242
0,0,0,1221,1242
0,0,0,1236,1236
0,0,0,1236,1236
0,0,0,1236,1230
0,0,0,1236,1230
0,0,0,1236,1224
0,0,0,1236,1224
0,0,0,1236,1220
0,0,0,1236,1220
0,0,0,1265,1214
0,0,0,1265,1214
0,0,0,1265,1210
0,0,0,1265,1210
0,0,0,1265,1206
0,0,0,1265,1206
0,0,0,1265,1202
0,0,0,1265,1202
0,0,0,1250,1198
0,0,0,1250,1198
0,0,0,1250,1194
0,0,0,1250,1194
0,0,0,1250,1192
0,0,0,1250,1192
0,0,0,1250,1188
0,0,0,1250,1188
0,0,0,1163,1186
0,0,0,1163,1186
0,0,0,1163,1182
0,0,0,1163,1182
0,0,0,1163,1180
0,0,0,1163,1180
0,0,0,1163,1176
0,0,0,1163,1176
0,0,0,1076,1172
0,0,0,1076,1172
0,0,0,1076,1170
0,0,0,1076,1170
0,0,0,1076,1168
0,0,0,1076,1168
0,0,0,1076,1170
0,0,0,1076,1170
0,0,0,975,1174
0,0,0,975,1174
0,0,0,975,1180
0,0,0,975,1180
0,0,0,975,1196
0,0,0,975,1196
0,0,0,975,1214
0,0,0,975,1214
0,0,0,902,1242
0,0,0,902,1242
0,0,0,902,1272
0,0,0,902,1272
0,0,0,902,1310
0,0,0,902,1310
0,0,0,902,1356
0,0,0,902,1356
0,0,0,859,1408
0,0,0,859,1408
0,0,0,859,1468
0,0,0,859,1468
0,0,0,859,1534
0,0,0,859,1534
0,0,0,859,1606
0,0,0,859,1606
0,0,0,859,1684
0,0,0,859,1684
0,0,0,859,1770
0,0,0,859,1770
0,0,0,859,1856
0,0,0,859,1856
0,0,0,859,1948
0,0,0,859,1948
0,0,0,888,2042
0,0,0,888,2042
0,0,0,888,2140
0,0,0,888,2140
0,0,0,888,2236
0,0,0,888,2236
0,0,0,888,2334
0,0,0,888,2334
0,0,0,946,2432
0,0,0,946,2432
0,0,0,946,2530
0,0,0,946,2530
0,0,0,946,2626
0,0,0,946,2626
0,0,0,946,2720
0,0,0,946,2720
0,0,0,989,2812
0,0,0,989,2812
0,0,0,989,2902
0,0,0,989,2902
0,0,0,989,2990
0,0,0,989,2990
0,0,0,989,3072
0,0,0,989,3072
0,0,0,1047,3154
0,0,0,1047,3154
0,0,0,1047,3228
0,0,0,1047,3228
0,0,0,1047,3298
0,0,0,1047,3298
0,0,0,1047,3364
0,0,0,1047,3364
0,0,0,1076,3426
0,0,0,1076,3426
0,0,0,1076,3482
0,0,0,1076,3482
0,0,0,1076,3534
0,0,0,1076,3534
0,0,0,1076,3580
0,0,0,1076,3580
0,0,0,1091,3620
0,0,0,1091,3620
0,0,0,1091,3658
0,0,0,1091,3658
0,0,0,1091,3688
0,0,0,1091,3688
0,0,0,1091,3714
0,0,0,1091,3714
0,0,0,1105,3736
0,0,0,1105,3736
0,0,0,1105,3754
0,0,0,1105,3754
0,0,0,1105,3768
0,0,0,1105,3768
0,0,0,1105,3776
0,0,0,1105,3776
0,0,0,1105,3782
0,0,0,1105,3782
0,0,0,1105,3784
0,0,0,1105,3784
0,0,0,1105,3780
0,0,0,1105,3780
0,0,0,1105,3774
0,0,0,1105,3774
0,0,0,1120,3762
0,0,0,1120,3762
0,0,0,1120,3744
0,0,0,1120,3744
0,0,0,1120,3722
0,0,0,1120,3722
0,0,0,1120,3696
0,0,0,1120,3696
0,0,0,1134,3666
0,0,0,1134,3666
0,0,0,1134,3634
0,0,0,1134,3634
0,0,0,1134,3598
0,0,0,1134,3598
0,0,0,1134,3560
0,0,0,1134,3560
0,0,0,1149,3520
0,0,0,1149,3520
0,0,0,1149,3480
0,0,0,1149,3480
0,0,0,1149,3434
0,0,0,1149,3434
0,0,0,1149,3388
0,0,0,1149,3388
0,0,0,1149,3338
0,0,0,1149,3338
0,0,0,1149,3288
0,0,0,1149,3288
0,0,0,1149,3236
0,0,0,1149,3236
0,0,0,1149,3180
0,0,0,1149,3180
0,0,0,1163,3124
0,0,0,1163,3124
0,0,0,1163,3068
0,0,0,1163,3068
0,0,0,1163,3010
0,0,0,1163,3010
0,0,0,1163,2950
0,0,0,1163,2950
0,0,0,1134,2890
0,0,0,1134,2890
0,0,0,1134,2832
0,0,0,1134,2832
0,0,0,1134,2770
0,0,0,1134,2770
0,0,0,1134,2710
0,0,0,1134,2710
0,0,0,1163,2652
0,0,0,1163,2652
0,0,0,1163,2594
0,0,0,1163,2594
0,0,0,1163,2540
0,0,0,1163,2540
0,0,0,1163,2486
0,0,0,1163,2486
0,0,0,1192,2434
0,0,0,1192,2434
0,0,0,1192,2384
0,0,0,1192,2384
0,0,0,1192,2338
0,0,0,1192,2338
0,0,0,1192,2292
0,0,0,1192,2292
0,0,0,1221,2250
0,0,0,1221,2250
0,0,0,1221,2208
0,0,0,1221,2208
0,0,0,1221,2168
0,0,0,1221,2168
0,0,0,1221,2128
0,0,0,1221,2128
0,0,0,1236,2090
0,0,0,1236,2090
0,0,0,1236,2056
0,0,0,1236,2056
0,0,0,1236,2020
0,0,0,1236,2020
0,0,0,1236,1988
0,0,0,1236,1988
0,0,0,1250,1958
0,0,0,1250,1958
0,0,0,1250,1928
0,0,0,1250,1928
0,0,0,1250,1902
0,0,0,1250,1902
0,0,0,1250,1876
0,0,0,1250,1876
0,0,0,1265,1852
0,0,0,1265,1852
0,0,0,1265,1830
0,0,0,1265,1830
0,0,0,1265,1810
0,0,0,1265,1810
0,0,0,1265,1792
0,0,0,1265,1792
0,0,0,1308,1772
0,0,0,1308,1772
0,0,0,1308,1754
0,0,0,1308,1754
0,0,0,1308,1738
0,0,0,1308,1738
0,0,0,1308,1720
0,0,0,1308,1720
0,0,0,1323,1704
0,0,0,1323,1704
0,0,0,1323,1688
0,0,0,1323,1688
0,0,0,1323,1674
0,0,0,1323,1674
0,0,0,1323,1658
0,0,0,1323,1658
0,0,0,1366,1644
0,0,0,1366,1644
0,0,0,1366,1628
0,0,0,1366,1628
0,0,0,1366,1614
0,0,0,1366,1614
0,0,0,1366,1598
0,0,0,1366,1598
0,0,0,1381,1582
0,0,0,1381,1582
0,0,0,1381,1566
0,0,0,1381,1566
0,0,0,1381,1550
0,0,0,1381,1550
0,0,0,1381,1534
0,0,0,1381,1534
0,0,0,1395,1516
0,0,0,1395,1516
0,0,0,1395,1502
0,0,0,1395,1502
0,0,0,1395,1486
0,0,0,1395,1486
0,0,0,1395,1472
0,0,0,1395,1472
0,0,0,1410,1458
0,0,0,1410,1458
0,0,0,1410,1444
0,0,0,1410,1444
0,0,0,1410,1432
0,0,0,1410,1432
0,0,0,1410,1422
0,0,0,1410,1422
0,0,0,1410,1410
0,0,0,1410,1410
0,0,0,1410,1398
0,0,0,1410,1398
0,0,0,1410,1388
0,0,0,1410,1388
0,0,0,1410,1374
0,0,0,1410,1374
0,0,0,1395,1362
0,0,0,1395,1362
0,0,0,1395,1350
0,0,0,1395,1350
0,0,0,1395,1340
0,0,0,1395,1340
0,0,0,1395,1330
0,0,0,1395,1330
0,0,0,1381,1320
0,0,0,1381,1320
0,0,0,1381,1310
0,0,0,1381,1310
0,0,0,1381,1302
0,0,0,1381,1302
0,0,0,1381,1292
0,0,0,1381,1292
0,0,0,1410,1282
0,0,0,1410,1282
0,0,0,1410,1272
0,0,0,1410,1272
0,0,0,1410,1262
0,0,0,1410,1262
0,0,0,1410,1252
0,0,0,1410,1252
0,0,0,1439,1240
0,0,0,1439,1240
0,0,0,1439,1230
0,0,0,1439,1230
0,0,0,1439,1218
0,0,0,1439,1218
0,0,0,1439,1206
0,0,0,1439,1206
0,0,0,1497,1194
0,0,0,1497,1194
0,0,0,1497,1182
0,0,0,1497,1182
0,0,0,1497,1174
0,0,0,1497,1174
0,0,0,1497,1164
0,0,0,1497,1164
0,0,0,1540,1154
0,0,0,1540,1154
0,0,0,1540,1148
0,0,0,1540,1148
0,0,0,1540,1140
0,0,0,1540,1140
0,0,0,1540,1134
0,0,0,1540,1134
0,0,0,1569,1128
0,0,0,1569,1128
0,0,0,1569,1120
0,0,0,1569,1120
0,0,0,1569,1114
0,0,0,1569,1114
0,0,0,1569,1108
0,0,0,1569,1108
0,0,0,1598,1104
0,0,0,1598,1104
0,0,0,1598,1098
0,0,0,1598,1098
0,0,0,1598,1094
0,0,0,1598,1094
0,0,0,1598,1090
0,0,0,1598,1090
0,0,0,1555,1086
0,0,0,1555,1086
0,0,0,1555,1084
0,0,0,1555,1084
0,0,0,1555,1078
0,0,0,1555,1078
0,0,0,1555,1076
0,0,0,1555,1076
0,0,0,1497,1072
0,0,0,1497,1072
0,0,0,1497,1070
0,0,0,1497,1070
0,0,0,1497,1068
0,0,0,1497,1068
0,0,0,1497,1066
0,0,0,1497,1066
0,0,0,1424,1066
0,0,0,1424,1066
0,0,0,1424,1066
0,0,0,1424,1066
0,0,0,1424,1068
0,0,0,1424,1068
0,0,0,1424,1076
0,0,0,1424,1076
0,0,0,1352,1086
0,0,0,1352,1086
0,0,0,1352,1102
0,0,0,1352,1102
0,0,0,1352,1124
0,0,0,1352,1124
0,0,0,1352,1152
0,0,0,1352,1152
0,0,0,1308,1186
0,0,0,1308,1186
0,0,0,1308,1230
0,0,0,1308,1230
0,0,0,1308,1280
0,0,0,1308,1280
0,0,0,1308,1334
0,0,0,1308,1334
0,0,0,1308,1400
0,0,0,1308,1400
0,0,0,1308,1472
0,0,0,1308,1472
