TRIG,ACQ,EXT,RESP,PULS
0,0,0,2062,1478
0,0,0,2062,1478
0,0,0,2062,1473
0,0,0,2062,1473
0,0,0,2062,1470
0,0,0,2062,1470
0,0,0,2062,1470
0,0,0,2062,1470
0,0,0,2019,1470
0,0,0,2019,1470
0,0,0,2019,1470
0,0,0,2019,1470
0,0,0,2019,1470
0,0,0,2019,1470
0,0,0,2019,1473
0,0,0,2019,1473
0,0,0,1932,1475
0,0,0,1932,1475
0,0,0,1932,1475
0,0,0,1932,1475
0,0,0,1932,1480
0,0,0,1932,1480
0,0,0,1932,1483
0,0,0,1932,1483
0,0,0,1859,1490
0,0,0,1859,1490
0,0,0,1859,1498
0,0,0,1859,1498
0,0,0,1859,1505
0,0,0,1859,1505
0,0,0,1859,1515
0,0,0,1859,1515
0,0,0,1830,1530
0,0,0,1830,1530
0,0,0,1830,1553
0,0,0,1830,1553
0,0,0,1830,1583
0,0,0,1830,1583
0,0,0,1830,1620
0,0,0,1830,1668
0,0,0,1830,1668
0,0,0,1830,1720
0,0,0,1830,1720
0,0,0,1830,1780
0,0,0,1830,1780
0,0,0,1830,1845
0,0,0,1830,1845
0,0,0,1845,1915
0,0,0,1845,1915
0,0,0,1845,1990
0,0,0,1845,1990
0,0,0,1845,2068
0,0,0,1845,2068
0,0,0,1845,2148
0,0,0,1845,2148
0,0,0,1874,2228
0,0,0,1874,2228
0,0,0,1874,2303
0,0,0,1874,2303
0,0,0,1874,2380
0,0,0,1874,2380
0,0,0,1874,2450
0,0,0,1874,2450
0,0,0,1874,2520
0,0,0,1874,2520
0,0,0,1874,2583
0,0,0,1874,2583
0,0,0,1874,2643
0,0,0,1874,2643
0,0,0,1874,2700
0,0,0,1874,2700
0,0,0,1874,2753
0,0,0,1874,2753
0,0,0,1874,2795
0,0,0,1874,2795
0,0,0,1874,2838
0,0,0,1874,2838
0,0,0,1874,2870
0,0,0,1874,2870
0,0,0,1888,2903
0,0,0,1888,2903
0,0,0,1888,2925
0,0,0,1888,2925
0,0,0,1888,2948
0,0,0,1888,2948
0,0,0,1888,2963
0,0,0,1888,2963
0,0,0,1859,2975
0,0,0,1859,2975
0,0,0,1859,2983
0,0,0,1859,2983
0,0,0,1859,2985
0,0,0,1859,2985
0,0,0,1859,2985
0,0,0,1859,2985
0,0,0,1874,2983
0,0,0,1874,2983
0,0,0,1874,2978
0,0,0,1874,2978
0,0,0,1874,2968
0,0,0,1874,2968
0,0,0,1874,2955
0,0,0,1874,2955
0,0,0,1888,2945
0,0,0,1888,2945
0,0,0,1888,2928
0,0,0,1888,2928
0,0,0,1888,2915
0,0,0,1888,2915
0,0,0,1888,2900
0,0,0,1888,2900
0,0,0,1874,2883
0,0,0,1874,2883
0,0,0,1874,2868
0,0,0,1874,2868
0,0,0,1874,2850
0,0,0,1874,2850
0,0,0,1874,2830
0,0,0,1874,2830
0,0,0,1874,2813
0,0,0,1874,2813
0,0,0,1874,2788
0,0,0,1874,2788
0,0,0,1874,2765
0,0,0,1874,2765
0,0,0,1874,2740
0,0,0,1874,2740
0,0,0,1888,2713
0,0,0,1888,2713
0,0,0,1888,2685
0,0,0,1888,2685
0,0,0,1888,2658
0,0,0,1888,2658
0,0,0,1888,2633
0,0,0,1888,2633
0,0,0,1903,2605
0,0,0,1903,2605
0,0,0,1903,2575
0,0,0,1903,2575
0,0,0,1903,2545
0,0,0,1903,2545
0,0,0,1903,2513
0,0,0,1903,2513
0,0,0,1917,2480
0,0,0,1917,2480
0,0,0,1917,2443
0,0,0,1917,2443
0,0,0,1917,2408
0,0,0,1917,2408
0,0,0,1917,2370
0,0,0,1917,2370
0,0,0,1903,2330
0,0,0,1903,2330
0,0,0,1903,2293
0,0,0,1903,2293
0,0,0,1903,2255
0,0,0,1903,2255
0,0,0,1903,2220
