TRIG,ACQ,EXT,RESP,PULS
0,0,0,1555,1875
0,0,0,1555,1875
0,0,0,1555,1893
0,0,0,1555,1893
0,0,0,1555,1915
0,0,0,1555,1915
0,0,0,1555,1938
0,0,0,1555,1938
0,0,0,1555,1960
0,0,0,1555,1960
0,0,0,1555,1988
0,0,0,1555,1988
0,0,0,1555,2015
0,0,0,1555,2015
0,0,0,1555,2043
0,0,0,1555,2043
0,0,0,1555,2073
0,0,0,1555,2073
0,0,0,1555,2103
0,0,0,1555,2103
0,0,0,1555,2130
0,0,0,1555,2130
0,0,0,1555,2158
0,0,0,1555,2158
0,0,0,1569,2183
0,0,0,1569,2183
0,0,0,1569,2208
0,0,0,1569,2208
0,0,0,1569,2228
0,0,0,1569,2228
0,0,0,1569,2248
0,0,0,1569,2248
0,0,0,1598,2265
0,0,0,1598,2265
0,0,0,1598,2285
0,0,0,1598,2285
0,0,0,1598,2303
0,0,0,1598,2303
0,0,0,1598,2318
0,0,0,1613,2333
0,0,0,1613,2333
0,0,0,1613,2343
0,0,0,1613,2343
0,0,0,1613,2350
0,0,0,1613,2350
0,0,0,1613,2355
0,0,0,1613,2355
0,0,0,1613,2355
0,0,0,1613,2355
0,0,0,1613,2358
0,0,0,1613,2358
0,0,0,1613,2360
0,0,0,1613,2360
0,0,0,1613,2363
0,0,0,1613,2363
0,0,0,1627,2363
0,0,0,1627,2363
0,0,0,1627,2363
0,0,0,1627,2363
0,0,0,1627,2363
0,0,0,1627,2363
0,0,0,1627,2360
0,0,0,1627,2360
0,0,0,1627,2353
0,0,0,1627,2353
0,0,0,1627,2345
0,0,0,1627,2345
0,0,0,1627,2335
0,0,0,1627,2335
0,0,0,1627,2325
0,0,0,1627,2325
0,0,0,1613,2313
0,0,0,1613,2313
0,0,0,1613,2303
0,0,0,1613,2303
0,0,0,1613,2295
0,0,0,1613,2295
0,0,0,1613,2285
0,0,0,1613,2285
0,0,0,1627,2278
0,0,0,1627,2278
0,0,0,1627,2270
0,0,0,1627,2270
0,0,0,1627,2260
0,0,0,1627,2260
0,0,0,1627,2250
0,0,0,1627,2250
0,0,0,1642,2240
0,0,0,1642,2240
0,0,0,1642,2230
0,0,0,1642,2230
0,0,0,1642,2223
0,0,0,1642,2223
0,0,0,1642,2215
0,0,0,1642,2215
0,0,0,1656,2205
0,0,0,1656,2205
0,0,0,1656,2198
0,0,0,1656,2198
0,0,0,1656,2188
0,0,0,1656,2188
0,0,0,1656,2178
0,0,0,1656,2178
0,0,0,1671,2168
0,0,0,1671,2168
0,0,0,1671,2160
0,0,0,1671,2160
0,0,0,1671,2153
0,0,0,1671,2153
0,0,0,1671,2145
0,0,0,1671,2145
0,0,0,1700,2138
