TRIG,ACQ,EXT,RESP,PULS
0,0,0,1729,1352
0,0,0,1729,1352
0,0,0,1729,1346
0,0,0,1729,1346
0,0,0,1729,1342
0,0,0,1729,1342
0,0,0,1729,1338
0,0,0,1729,1338
0,0,0,1700,1338
0,0,0,1700,1338
0,0,0,1700,1342
0,0,0,1700,1342
0,0,0,1700,1350
0,0,0,1700,1350
0,0,0,1700,1362
0,0,0,1700,1362
0,0,0,1671,1380
0,0,0,1671,1380
0,0,0,1671,1404
0,0,0,1671,1404
0,0,0,1671,1436
0,0,0,1671,1436
0,0,0,1671,1474
0,0,0,1671,1474
0,0,0,1656,1516
0,0,0,1656,1516
0,0,0,1656,1566
0,0,0,1656,1566
0,0,0,1656,1622
0,0,0,1656,1622
0,0,0,1656,1684
0,0,0,1656,1684
0,0,0,1700,1750
0,0,0,1700,1750
0,0,0,1700,1820
0,0,0,1700,1820
0,0,0,1700,1896
0,0,0,1700,1896
0,0,0,1700,1970
0,0,0,1729,2046
0,0,0,1729,2046
0,0,0,1729,2124
0,0,0,1729,2124
0,0,0,1729,2198
0,0,0,1729,2198
0,0,0,1729,2274
0,0,0,1729,2274
0,0,0,1729,2344
0,0,0,1729,2344
0,0,0,1729,2414
0,0,0,1729,2414
0,0,0,1729,2480
0,0,0,1729,2480
0,0,0,1729,2546
0,0,0,1729,2546
0,0,0,1743,2610
0,0,0,1743,2610
0,0,0,1743,2666
0,0,0,1743,2666
0,0,0,1743,2722
0,0,0,1743,2722
0,0,0,1743,2778
0,0,0,1743,2778
0,0,0,1758,2826
0,0,0,1758,2826
0,0,0,1758,2874
0,0,0,1758,2874
0,0,0,1758,2918
0,0,0,1758,2918
0,0,0,1758,2958
0,0,0,1758,2958
0,0,0,1758,2994
0,0,0,1758,2994
0,0,0,1758,3028
0,0,0,1758,3028
0,0,0,1758,3058
0,0,0,1758,3058
0,0,0,1758,3088
0,0,0,1758,3088
0,0,0,1758,3110
0,0,0,1758,3110
0,0,0,1758,3130
0,0,0,1758,3130
0,0,0,1758,3146
0,0,0,1758,3146
0,0,0,1758,3160
0,0,0,1758,3160
0,0,0,1758,3170
0,0,0,1758,3170
0,0,0,1758,3176
0,0,0,1758,3176
0,0,0,1758,3178
0,0,0,1758,3178
0,0,0,1758,3178
0,0,0,1758,3178
0,0,0,1758,3176
0,0,0,1758,3176
0,0,0,1758,3170
0,0,0,1758,3170
0,0,0,1758,3164
0,0,0,1758,3164
0,0,0,1758,3156
0,0,0,1758,3156
0,0,0,1758,3146
0,0,0,1758,3146
0,0,0,1758,3138
0,0,0,1758,3138
0,0,0,1758,3124
0,0,0,1758,3124
0,0,0,1758,3110
0,0,0,1758,3110
0,0,0,1772,3094
0,0,0,1772,3094
0,0,0,1772,3076
0,0,0,1772,3076
0,0,0,1772,3054
0,0,0,1772,3054
0,0,0,1772,3030
0,0,0,1772,3030
0,0,0,1787,3004
0,0,0,1787,3004
0,0,0,1787,2974
0,0,0,1787,2974
0,0,0,1787,2942
0,0,0,1787,2942
0,0,0,1787,2910
0,0,0,1787,2910
0,0,0,1816,2874
0,0,0,1816,2874
0,0,0,1816,2836
0,0,0,1816,2836
0,0,0,1816,2800
0,0,0,1816,2800
0,0,0,1816,2756
0,0,0,1816,2756
0,0,0,1830,2716
0,0,0,1830,2716
0,0,0,1830,2674
0,0,0,1830,2674
0,0,0,1830,2634
0,0,0,1830,2634
0,0,0,1830,2592
0,0,0,1830,2592
0,0,0,1874,2550
0,0,0,1874,2550
0,0,0,1874,2508
0,0,0,1874,2508
0,0,0,1874,2470
0,0,0,1874,2470
0,0,0,1874,2430
0,0,0,1874,2430
0,0,0,1932,2394
0,0,0,1932,2394
0,0,0,1932,2358
0,0,0,1932,2358
0,0,0,1932,2324
0,0,0,1932,2324
0,0,0,1932,2292
0,0,0,1932,2292
0,0,0,2004,2260
0,0,0,2004,2260
0,0,0,2004,2230
0,0,0,2004,2230
0,0,0,2004,2200
0,0,0,2004,2200
0,0,0,2004,2172
0,0,0,2004,2172
0,0,0,2091,2146
0,0,0,2091,2146
0,0,0,2091,2120
0,0,0,2091,2120
0,0,0,2091,2096
0,0,0,2091,2096
0,0,0,2091,2072
0,0,0,2091,2072
0,0,0,2149,2052
0,0,0,2149,2052
0,0,0,2149,2032
0,0,0,2149,2032
0,0,0,2149,2012
0,0,0,2149,2012
0,0,0,2149,1996
0,0,0,2149,1996
0,0,0,2178,1982
0,0,0,2178,1982
0,0,0,2178,1968
0,0,0,2178,1968
0,0,0,2178,1954
0,0,0,2178,1954
0,0,0,2178,1944
0,0,0,2178,1944
0,0,0,2193,1930
0,0,0,2193,1930
0,0,0,2193,1920
0,0,0,2193,1920
0,0,0,2193,1908
0,0,0,2193,1908
0,0,0,2193,1896
0,0,0,2193,1896
0,0,0,2193,1884
0,0,0,2193,1884
0,0,0,2193,1872
0,0,0,2193,1872
0,0,0,2193,1858
0,0,0,2193,1858
0,0,0,2193,1848
0,0,0,2193,1848
0,0,0,2193,1838
0,0,0,2193,1838
0,0,0,2193,1828
0,0,0,2193,1828
0,0,0,2193,1820
0,0,0,2193,1820
0,0,0,2193,1814
0,0,0,2193,1814
0,0,0,2178,1806
0,0,0,2178,1806
0,0,0,2178,1800
0,0,0,2178,1800
0,0,0,2178,1794
0,0,0,2178,1794
0,0,0,2178,1786
0,0,0,2178,1786
0,0,0,2164,1778
0,0,0,2164,1778
0,0,0,2164,1768
0,0,0,2164,1768
0,0,0,2164,1756
0,0,0,2164,1756
0,0,0,2164,1746
0,0,0,2164,1746
0,0,0,2135,1734
0,0,0,2135,1734
0,0,0,2135,1722
0,0,0,2135,1722
0,0,0,2135,1712
0,0,0,2135,1712
0,0,0,2135,1698
0,0,0,2135,1698
0,0,0,2135,1686
0,0,0,2135,1686
0,0,0,2135,1674
0,0,0,2135,1674
0,0,0,2135,1662
0,0,0,2135,1662
0,0,0,2135,1648
0,0,0,2135,1648
0,0,0,2120,1636
0,0,0,2120,1636
0,0,0,2120,1622
0,0,0,2120,1622
0,0,0,2120,1608
0,0,0,2120,1608
0,0,0,2120,1594
0,0,0,2120,1594
0,0,0,2106,1580
0,0,0,2106,1580
0,0,0,2106,1566
0,0,0,2106,1566
0,0,0,2106,1550
0,0,0,2106,1550
0,0,0,2106,1538
0,0,0,2106,1538
0,0,0,2106,1522
0,0,0,2106,1522
0,0,0,2106,1510
0,0,0,2106,1510
0,0,0,2106,1498
0,0,0,2106,1498
0,0,0,2106,1486
0,0,0,2106,1486
0,0,0,2091,1476
0,0,0,2091,1476
0,0,0,2091,1464
0,0,0,2091,1464
0,0,0,2091,1454
0,0,0,2091,1454
0,0,0,2091,1444
0,0,0,2091,1444
0,0,0,2091,1438
0,0,0,2091,1438
0,0,0,2091,1430
