TRIG,ACQ,EXT,RESP,PULS
0,0,0,0,1928
0,0,0,0,1928
0,0,0,0,1966
0,0,0,0,1966
0,0,0,0,2005
0,0,0,0,2005
0,0,0,0,2044
0,0,0,0,2044
0,0,0,0,2084
0,0,0,0,2084
0,0,0,0,2124
0,0,0,0,2124
0,0,0,0,2162
0,0,0,0,2162
0,0,0,0,2200
0,0,0,0,2200
0,0,0,0,2236
0,0,0,0,2236
0,0,0,0,2270
0,0,0,0,2270
0,0,0,0,2301
0,0,0,0,2301
0,0,0,0,2331
0,0,0,0,2331
0,0,0,0,2358
0,0,0,0,2358
0,0,0,0,2383
0,0,0,0,2383
0,0,0,0,2406
0,0,0,0,2406
0,0,0,0,2425
0,0,0,0,2425
0,0,0,0,2443
0,0,0,0,2443
0,0,0,0,2459
0,0,0,0,2459
0,0,0,0,2471
0,0,0,0,2471
0,0,0,0,2482
0,0,0,0,2491
0,0,0,0,2491
0,0,0,0,2498
0,0,0,0,2498
0,0,0,0,2503
0,0,0,0,2503
0,0,0,0,2507
0,0,0,0,2507
0,0,0,0,2508
0,0,0,0,2508
0,0,0,0,2508
0,0,0,0,2508
0,0,0,0,2507
0,0,0,0,2507
0,0,0,0,2504
0,0,0,0,2504
0,0,0,0,2499
0,0,0,0,2499
0,0,0,0,2494
0,0,0,0,2494
0,0,0,0,2487
0,0,0,0,2487
0,0,0,0,2480
0,0,0,0,2480
0,0,0,0,2471
0,0,0,0,2471
0,0,0,0,2461
0,0,0,0,2461
0,0,0,0,2450
0,0,0,0,2450
0,0,0,0,2440
0,0,0,0,2440
0,0,0,0,2428
0,0,0,0,2428
0,0,0,0,2416
0,0,0,0,2416
0,0,0,0,2403
0,0,0,0,2403
0,0,0,0,2391
0,0,0,0,2391
0,0,0,0,2378
0,0,0,0,2378
0,0,0,0,2365
0,0,0,0,2365
0,0,0,0,2351
0,0,0,0,2351
0,0,0,0,2336
0,0,0,0,2336
0,0,0,0,2322
0,0,0,0,2322
0,0,0,0,2307
0,0,0,0,2307
0,0,0,0,2292
0,0,0,0,2292
0,0,0,0,2276
0,0,0,0,2276
0,0,0,0,2261
0,0,0,0,2261
0,0,0,0,2246
0,0,0,0,2246
0,0,0,0,2232
0,0,0,0,2232
0,0,0,0,2217
0,0,0,0,2217
0,0,0,0,2202
0,0,0,0,2202
0,0,0,0,2188
0,0,0,0,2188
0,0,0,0,2173
0,0,0,0,2173
0,0,0,0,2159
0,0,0,0,2159
0,0,0,0,2144
0,0,0,0,2144
0,0,0,0,2131
0,0,0,0,2131
0,0,0,0,2117
0,0,0,0,2117
0,0,0,0,2105
0,0,0,0,2105
0,0,0,0,2092
0,0,0,0,2092
0,0,0,0,2080
0,0,0,0,2080
0,0,0,0,2070
0,0,0,0,2070
0,0,0,0,2060
0,0,0,0,2060
0,0,0,0,2051
0,0,0,0,2051
0,0,0,0,2039
0,0,0,0,2039
0,0,0,0,2027
0,0,0,0,2027
0,0,0,0,2016
0,0,0,0,2016
0,0,0,0,2006
0,0,0,0,2006
0,0,0,0,1997
0,0,0,0,1997
0,0,0,0,1990
0,0,0,0,1990
0,0,0,0,1984
0,0,0,0,1984
0,0,0,0,1979
0,0,0,0,1979
0,0,0,0,1974
0,0,0,0,1974
0,0,0,0,1970
0,0,0,0,1970
0,0,0,0,1967
0,0,0,0,1967
0,0,0,0,1964
0,0,0,0,1964
0,0,0,0,1960
0,0,0,0,1960
0,0,0,0,1957
0,0,0,0,1957
0,0,0,0,1953
0,0,0,0,1953
0,0,0,0,1950
0,0,0,0,1950
0,0,0,0,1946
0,0,0,0,1946
0,0,0,0,1943
0,0,0,0,1943
0,0,0,0,1937
0,0,0,0,1937
0,0,0,0,1933
0,0,0,0,1933
0,0,0,0,1928
0,0,0,0,1928
0,0,0,0,1922
0,0,0,0,1922
0,0,0,0,1916
0,0,0,0,1916
0,0,0,0,1908
0,0,0,0,1908
0,0,0,0,1902
0,0,0,0,1902
0,0,0,0,1895
0,0,0,0,1895
0,0,0,0,1886
0,0,0,0,1886
0,0,0,0,1878
0,0,0,0,1878
0,0,0,0,1869
0,0,0,0,1869
0,0,0,0,1860
0,0,0,0,1860
0,0,0,0,1850
0,0,0,0,1850
0,0,0,0,1840
0,0,0,0,1840
0,0,0,0,1829
0,0,0,0,1829
0,0,0,0,1819
0,0,0,0,1819
0,0,0,0,1808
0,0,0,0,1808
0,0,0,0,1798
0,0,0,0,1798
0,0,0,0,1788
0,0,0,0,1788
0,0,0,0,1778
0,0,0,0,1778
0,0,0,0,1768
0,0,0,0,1768
0,0,0,0,1758
0,0,0,0,1758
0,0,0,0,1748
0,0,0,0,1748
0,0,0,0,1738
0,0,0,0,1738
0,0,0,0,1728
0,0,0,0,1728
0,0,0,0,1718
0,0,0,0,1718
0,0,0,0,1708
0,0,0,0,1708
0,0,0,0,1697
0,0,0,0,1697
0,0,0,0,1688
0,0,0,0,1688
0,0,0,0,1676
0,0,0,0,1676
0,0,0,0,1667
0,0,0,0,1667
0,0,0,0,1655
0,0,0,0,1655
0,0,0,0,1645
0,0,0,0,1645
0,0,0,0,1634
0,0,0,0,1634
0,0,0,0,1624
0,0,0,0,1624
0,0,0,0,1614
0,0,0,0,1614
0,0,0,0,1604
0,0,0,0,1604
0,0,0,0,1595
0,0,0,0,1595
0,0,0,0,1585
0,0,0,0,1585
0,0,0,0,1575
0,0,0,0,1575
0,0,0,0,1565
0,0,0,0,1565
0,0,0,0,1556
0,0,0,0,1556
0,0,0,0,1547
0,0,0,0,1547
0,0,0,0,1538
0,0,0,0,1538
0,0,0,0,1529
0,0,0,0,1529
0,0,0,72,1520
0,0,0,72,1520
0,0,0,72,1511
0,0,0,72,1511
0,0,0,72,1502
0,0,0,72,1502
0,0,0,72,1494
0,0,0,72,1494
0,0,0,200,1486
0,0,0,200,1486
0,0,0,200,1478
0,0,0,200,1478
0,0,0,200,1472
0,0,0,200,1472
0,0,0,200,1467
0,0,0,200,1467
0,0,0,296,1462
0,0,0,296,1462
0,0,0,296,1457
0,0,0,296,1457
0,0,0,296,1453
0,0,0,296,1453
0,0,0,296,1449
0,0,0,296,1449
0,0,0,400,1446
0,0,0,400,1446
0,0,0,400,1443
0,0,0,400,1443
0,0,0,400,1439
0,0,0,400,1439
0,0,0,400,1437
0,0,0,400,1437
0,0,0,512,1434
0,0,0,512,1434
0,0,0,512,1432
0,0,0,512,1432
0,0,0,512,1429
0,0,0,512,1429
0,0,0,512,1426
0,0,0,512,1426
0,0,0,632,1424
0,0,0,632,1424
0,0,0,632,1421
0,0,0,632,1421
0,0,0,632,1419
0,0,0,632,1419
0,0,0,632,1418
0,0,0,632,1418
0,0,0,752,1417
0,0,0,752,1417
0,0,0,752,1417
0,0,0,752,1417
0,0,0,752,1416
0,0,0,752,1416
0,0,0,752,1416
0,0,0,752,1416
0,0,0,880,1416
0,0,0,880,1416
0,0,0,880,1415
0,0,0,880,1415
0,0,0,880,1414
0,0,0,880,1414
0,0,0,880,1413
0,0,0,880,1413
0,0,0,1024,1412
0,0,0,1024,1412
0,0,0,1024,1409
0,0,0,1024,1409
0,0,0,1024,1406
0,0,0,1024,1406
0,0,0,1024,1402
0,0,0,1024,1402
0,0,0,1136,1398
0,0,0,1136,1398
0,0,0,1136,1394
0,0,0,1136,1394
0,0,0,1136,1391
0,0,0,1136,1391
0,0,0,1136,1388
0,0,0,1136,1388
0,0,0,1208,1383
0,0,0,1208,1383
0,0,0,1208,1380
0,0,0,1208,1380
0,0,0,1208,1379
0,0,0,1208,1379
0,0,0,1208,1376
0,0,0,1208,1376
0,0,0,1264,1375
0,0,0,1264,1375
0,0,0,1264,1375
0,0,0,1264,1375
0,0,0,1264,1376
0,0,0,1264,1376
0,0,0,1264,1381
0,0,0,1264,1381
0,0,0,1312,1388
0,0,0,1312,1388
0,0,0,1312,1400
0,0,0,1312,1400
0,0,0,1312,1416
0,0,0,1312,1416
0,0,0,1312,1438
0,0,0,1312,1438
0,0,0,1360,1465
0,0,0,1360,1465
0,0,0,1360,1497
0,0,0,1360,1497
0,0,0,1360,1535
0,0,0,1360,1535
0,0,0,1360,1579
0,0,0,1360,1579
0,0,0,1400,1628
0,0,0,1400,1628
0,0,0,1400,1682
0,0,0,1400,1682
0,0,0,1400,1739
0,0,0,1400,1739
0,0,0,1400,1799
0,0,0,1400,1799
0,0,0,1424,1863
0,0,0,1424,1863
0,0,0,1424,1928
0,0,0,1424,1928
0,0,0,1424,1994
0,0,0,1424,1994
0,0,0,1424,2058
0,0,0,1424,2058
0,0,0,1448,2123
0,0,0,1448,2123
0,0,0,1448,2186
0,0,0,1448,2186
0,0,0,1448,2246
0,0,0,1448,2246
0,0,0,1448,2303
0,0,0,1448,2303
0,0,0,1472,2358
0,0,0,1472,2358
0,0,0,1472,2410
0,0,0,1472,2410
0,0,0,1472,2459
0,0,0,1472,2459
0,0,0,1472,2504
0,0,0,1472,2504
0,0,0,1488,2546
0,0,0,1488,2546
0,0,0,1488,2585
0,0,0,1488,2585
0,0,0,1488,2618
0,0,0,1488,2618
0,0,0,1488,2649
0,0,0,1488,2649
0,0,0,1512,2676
0,0,0,1512,2676
0,0,0,1512,2700
0,0,0,1512,2700
0,0,0,1512,2720
0,0,0,1512,2720
0,0,0,1512,2735
0,0,0,1512,2735
0,0,0,1552,2747
0,0,0,1552,2747
0,0,0,1552,2756
0,0,0,1552,2756
0,0,0,1552,2761
0,0,0,1552,2761
0,0,0,1552,2763
0,0,0,1552,2763
0,0,0,1592,2762
0,0,0,1592,2762
0,0,0,1592,2759
0,0,0,1592,2759
0,0,0,1592,2752
0,0,0,1592,2752
0,0,0,1592,2743
0,0,0,1592,2743
0,0,0,1640,2732
0,0,0,1640,2732
0,0,0,1640,2718
0,0,0,1640,2718
0,0,0,1640,2704
0,0,0,1640,2704
0,0,0,1640,2687
0,0,0,1640,2687
0,0,0,1704,2668
0,0,0,1704,2668
0,0,0,1704,2648
0,0,0,1704,2648
0,0,0,1704,2629
0,0,0,1704,2629
0,0,0,1704,2609
0,0,0,1704,2609
0,0,0,1776,2588
0,0,0,1776,2588
