TRIG,ACQ,EXT,RESP,PULS
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2583,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2547,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2509,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2468,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2428,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2401,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2367,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2331,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2297,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2261,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2223,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2185,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2149,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2113,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2081,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2054,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,2027,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1994,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1962,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1942,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1928,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1915,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1895,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1879,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1872,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1859,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1834,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1798,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1771,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1755,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1737,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1724,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1710,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1699,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1690,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1681,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1672,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1658,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1652,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1649,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1645,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1647,0
0,0,0,1640,0
0,0,0,1640,0
