TRIG,ACQ,EXT,RESP,PULS
0,0,0,2013,1264
0,0,0,2013,1264
0,0,0,2013,1254
0,0,0,2013,1254
0,0,0,2013,1273
0,0,0,2013,1273
0,0,0,2013,1335
0,0,0,2013,1335
0,0,0,2014,1435
0,0,0,2014,1435
0,0,0,2014,1592
0,0,0,2014,1592
0,0,0,2014,1796
0,0,0,2014,1796
0,0,0,2014,2043
0,0,0,2014,2043
0,0,0,2015,2328
0,0,0,2015,2328
0,0,0,2015,2641
0,0,0,2015,2641
0,0,0,2015,2969
0,0,0,2015,2969
0,0,0,2015,3306
0,0,0,2015,3306
0,0,0,2016,3648
0,0,0,2016,3648
0,0,0,2016,3986
0,0,0,2016,3986
0,0,0,2016,4095
0,0,0,2016,4095
0,0,0,2016,4095
0,0,0,2016,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2017,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2018,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2020,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2022,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2024,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2023,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2021,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4095
0,0,0,2019,4066
0,0,0,2019,4066
0,0,0,2017,3986
0,0,0,2017,3986
0,0,0,2017,3910
0,0,0,2017,3910
0,0,0,2017,3843
0,0,0,2017,3843
0,0,0,2017,3781
0,0,0,2017,3781
0,0,0,2016,3734
0,0,0,2016,3734
0,0,0,2016,3691
0,0,0,2016,3691
0,0,0,2016,3663
0,0,0,2016,3663
0,0,0,2016,3644
0,0,0,2016,3644
0,0,0,2015,3625
0,0,0,2015,3625
0,0,0,2015,3615
0,0,0,2015,3615
0,0,0,2015,3615
0,0,0,2015,3615
0,0,0,2015,3620
0,0,0,2015,3620
0,0,0,2013,3629
0,0,0,2013,3629
0,0,0,2013,3644
0,0,0,2013,3644
0,0,0,2013,3667
0,0,0,2013,3667
0,0,0,2013,3686
0,0,0,2013,3686
0,0,0,2012,3715
0,0,0,2012,3715
0,0,0,2012,3753
0,0,0,2012,3753
0,0,0,2012,3781
0,0,0,2012,3781
0,0,0,2012,3819
0,0,0,2012,3819
0,0,0,2011,3857
0,0,0,2011,3857
0,0,0,2011,3886
0,0,0,2011,3886
0,0,0,2011,3914
0,0,0,2011,3914
0,0,0,2011,3929
0,0,0,2011,3929
0,0,0,2010,3938
0,0,0,2010,3938
0,0,0,2010,3943
0,0,0,2010,3943
0,0,0,2010,3933
0,0,0,2010,3933
0,0,0,2010,3919
0,0,0,2010,3919
0,0,0,2009,3895
0,0,0,2009,3895
0,0,0,2009,3862
0,0,0,2009,3862
0,0,0,2009,3819
0,0,0,2009,3819
0,0,0,2009,3762
0,0,0,2009,3762
0,0,0,2007,3701
0,0,0,2007,3701
0,0,0,2007,3629
0,0,0,2007,3629
0,0,0,2007,3549
0,0,0,2007,3549
0,0,0,2007,3458
0,0,0,2007,3458
0,0,0,2005,3363
0,0,0,2005,3363
0,0,0,2005,3259
0,0,0,2005,3259
0,0,0,2005,3150
0,0,0,2005,3150
0,0,0,2005,3040
0,0,0,2005,3040
0,0,0,2003,2922
0,0,0,2003,2922
0,0,0,2003,2803
0,0,0,2003,2803
0,0,0,2003,2679
0,0,0,2003,2679
0,0,0,2003,2565
0,0,0,2003,2565
0,0,0,2003,2451
0,0,0,2003,2451
0,0,0,2003,2342
0,0,0,2003,2342
0,0,0,2003,2228
0,0,0,2003,2228
0,0,0,2003,2124
0,0,0,2003,2124
0,0,0,2002,2029
0,0,0,2002,2029
0,0,0,2002,1919
0,0,0,2002,1919
0,0,0,2002,1820
0,0,0,2002,1820
0,0,0,2002,1725
0,0,0,2002,1725
0,0,0,2001,1634
0,0,0,2001,1634
0,0,0,2001,1558
0,0,0,2001,1558
0,0,0,2001,1482
0,0,0,2001,1482
0,0,0,2001,1416
0,0,0,2001,1416
0,0,0,2000,1354
0,0,0,2000,1354
0,0,0,2000,1297
0,0,0,2000,1297
0,0,0,2000,1250
0,0,0,2000,1250
0,0,0,2000,1202
0,0,0,2000,1202
0,0,0,1999,1169
0,0,0,1999,1169
0,0,0,1999,1136
0,0,0,1999,1136
0,0,0,1999,1107
0,0,0,1999,1107
0,0,0,1999,1083
0,0,0,1999,1083
0,0,0,1999,1064
0,0,0,1999,1064
0,0,0,1999,1055
0,0,0,1999,1055
0,0,0,1999,1041
0,0,0,1999,1041
0,0,0,1999,1026
0,0,0,1999,1026
0,0,0,1998,1017
0,0,0,1998,1017
0,0,0,1998,1007
